AKPI,KOMISARIS,AMIRSYAH RISJAD,no
AKPI,KETUA,Johan Paulus Yoranouw,-
AKPI,ANGGOTA,Willie Tandanu,-
AKPI,ANGGOTA,Benito Sutarna,-
AKPI,Pemegang Saham,PT Nawa Panduta,-
AKPI,Pemegang Saham,PT Prismatama Nugraha,-
AKPI,Pemegang Saham,PT Tiara Intimahkota,-
AKRA,Tanggal Pencatatan,03 Okt 1994,-
AKRA,Sektor,Energi,-
AKRA,Sub Sektor,Minyak, Gas & Batu Bara,-
AKRA,Industri,Minyak & Gas,-
AKRA,Sub Industri,Penyimpanan & Distribusi Minyak & Gas,-
AKRA,Sekretaris Perusahaan,Suresh Vembu,-
AKRA,PRESIDEN DIREKTUR,Haryanto Adikoesoemo,-
AKRA,DIREKTUR,Jimmy Tandyo,-
AKRA,DIREKTUR,Bambang Soetiono Soedijanto,-
AKRA,DIREKTUR,Mery Sofi,-
AKRA,DIREKTUR,Suresh Vembu,-
AKRA,DIREKTUR,Nery Polim,-
AKRA,DIREKTUR,Termurti Tiban,-
AKRA,PRESIDEN KOMISARIS,Soegiarto Adikoesoemo,no
AKRA,KOMISARIS,I Nyoman Mastra,no
AKRA,KOMISARIS,Mohamad Fauzi Maulana Ichsan,yes
AKRA,KETUA,Mohamad Fauzi M. Ichsan,-
AKRA,ANGGOTA,Sahat Pardede,-
AKRA,ANGGOTA,Djisman Simandjuntak,-
AKRA,Pemegang Saham,PT Arthakencana Rayatama,-
AKSI,Tanggal Pencatatan,13 Jul 2001,-
AKSI,Sektor,Transportasi & Logistik,-
AKSI,Sub Sektor,Logistik & Pengantaran,-
AKSI,Industri,Logistik & Pengantaran,-
AKSI,Sub Industri,Logistik & Pengantaran,-
AKSI,Sekretaris Perusahaan,Agus Amirsyah, ST,-
AKSI,DIREKTUR UTAMA,Doddy Hermawan,-
AKSI,DIREKTUR,William,-
AKSI,KOMISARIS UTAMA,Rosmaria Parlindungan,no
AKSI,KOMISARIS,Sumarwoto,yes
AKSI,KETUA,Sumarwoto,-
AKSI,ANGGOTA,Arifin M.Sibarani SE,-
AKSI,ANGGOTA,Norman Wijayadi,-
AKSI,Pemegang Saham,PT Batulicin Enam Sembilan Transportasi,-
ALDO,Tanggal Pencatatan,12 Jul 2011,-
ALDO,Sektor,Barang Baku,-
ALDO,Sub Sektor,Barang Baku,-
ALDO,Industri,Wadah & Kemasan,-
ALDO,Sub Industri,Wadah & Kemasan,-
ALDO,Sekretaris Perusahaan,Kuswara,-
ALDO,Direktur Utama,Herwanto Sutanto,-
ALDO,Direktur,Erik Sutanto,-
ALDO,Direktur,Kuswara,-
ALDO,Komisaris Utama,Lili Mulyadi Sutanto,no
ALDO,Komisaris,Irene Sastroamijoyo,no
ALDO,Komisaris,Gunaratna Andy Tanusasmita,yes
ALDO,KETUA,Lama,-
ALDO,ANGGOTA,Lama,-
ALDO,ANGGOTA,Baru,-
ALDO,Pemegang Saham,PT Golden Arista International,-
ALKA,Tanggal Pencatatan,12 Jul 1990,-
ALKA,Sektor,Barang Baku,-
ALKA,Sub Sektor,Barang Baku,-
ALKA,Industri,Logam & Mineral,-
ALKA,Sub Industri,Alumunium,-
ALKA,Sekretaris Perusahaan,Fendra Hartanto,-
ALKA,PRESIDEN DIREKTUR,Sucipto Tanro,-
ALKA,WAKIL PRESIDEN DIREKTUR,Fendra Hartanto,-
ALKA,DIREKTUR,Nurtavip Sucipto,-
ALKA,PRESIDEN KOMISARIS,Peng Tjoan,no
ALKA,WAKIL PRESIDEN KOMISARIS,Bambang Rahardja Burhan,yes
ALKA,KOMISARIS,Suryadi Hertanto,no
ALKA,KETUA,Eric Bambang Rahardja Burhan,-
ALKA,ANGGOTA,Darmawan Kusnadi,-
ALKA,ANGGOTA,Rumondang Hutapea,-
ALKA,Pemegang Saham,PT. Gesit Alumas,-
ALKA,Pemegang Saham,PT. Gesit Perkasa,-
ALMI,Tanggal Pencatatan,02 Jan 1997,-
ALMI,Sektor,Barang Baku,-
ALMI,Sub Sektor,Barang Baku,-
ALMI,Industri,Logam & Mineral,-
ALMI,Sub Industri,Alumunium,-
ALMI,Sekretaris Perusahaan,Wibowo Suryadinata,-
ALMI,DIREKTUR UTAMA,Alim Markus,-
ALMI,DIREKTUR,Alim Mulia Sastra,-
ALMI,DIREKTUR,Alim Prakasa,-
ALMI,DIREKTUR,Wibowo Suryadinata,-
ALMI,KOMISARIS UTAMA,Welly Muliawan, Lie,no
ALMI,KOMISARIS,Gunardi Go,no
ALMI,KOMISARIS,Drs. Supranoto Dipokusumo,yes
ALMI,KETUA,Drs. Supranoto Dipokusumo,-
ALMI,ANGGOTA,Bambang Sukristiono,-
ALMI,ANGGOTA,Yuma Romansyah,-
ALMI,Pemegang Saham,PT Maspion,-
ALMI,Pemegang Saham,PT. Mulindo Investama,-
ALMI,Pemegang Saham,PT. Prakindo Investama,-
ALMI,Pemegang Saham,PT. Guna Investindo,-
ALMI,Pemegang Saham,PT. Marindo Investindo,-
ALMI,Pemegang Saham,PT. Husin Investama,-
ALMI,Pemegang Saham,CITIBANK NEW YORK S/A NATIONAL FINANCIAL SERVICES LLC,-
ALTO,Tanggal Pencatatan,10 Jul 2012,-
ALTO,Sektor,Barang Konsumen Primer,-
ALTO,Sub Sektor,Makanan & Minuman,-
ALTO,Industri,Minuman,-
ALTO,Sub Industri,Minuman Ringan,-
ALTO,Sekretaris Perusahaan,Olivia Martha,-
ALTO,DIREKTUR UTAMA,Lisianawati,-
ALTO,DIREKTUR,Andy Wardhana Putra Tanumihardja, SE,-
ALTO,KOMISARIS UTAMA,Edwin Kosasih,no
ALTO,KOMISARIS,Dini Virtianty,yes
ALTO,KETUA,Dini Virtianty,-
ALTO,ANGGOTA,Januar Pitono,-
ALTO,ANGGOTA,Marlina Susanty,-
ALTO,Pemegang Saham,PT Trimegah Sekuritas Indonesia, Tbk,-
ALTO,Pemegang Saham,Persero Danareksa,PT S/A PSC,-
ALTO,Pemegang Saham,PT Tirtamas Anggada,-
ALTO,Pemegang Saham,PT Fikasa Bintang Cemerlang,-
AMAG,Tanggal Pencatatan,23 Des 2005,-
AMAG,Sektor,Keuangan,-
AMAG,Sub Sektor,Asuransi,-
AMAG,Industri,Asuransi,-
